Vardas                Pavarde               ND1       ND2       ND3       ND4        Egzaminas
----------------------------------------------------------------------------------------------
Vardenis1             Pavardenis1           6         6         8         3         4          
Vardenis2             Pavardenis2           9         5         3         3         1          
Vardenis3             Pavardenis3           3         2         8         3         3          
Vardenis4             Pavardenis4           7         6         8         6         3          
Vardenis5             Pavardenis5           9         9         3         8         8          
Vardenis6             Pavardenis6           7         3         10        7         1          
Vardenis7             Pavardenis7           7         6         1         1         10         
Vardenis8             Pavardenis8           9         3         7         3         2          
Vardenis9             Pavardenis9           6         2         6         8         3          
Vardenis10            Pavardenis10          7         1         9         1         4          
Vardenis11            Pavardenis11          9         5         6         2         4          
Vardenis12            Pavardenis12          4         4         6         2         2          
Vardenis13            Pavardenis13          6         2         8         9         4          
Vardenis14            Pavardenis14          5         6         1         3         7          
Vardenis15            Pavardenis15          7         10        10        9         9          
Vardenis16            Pavardenis16          8         4         1         10        6          
Vardenis17            Pavardenis17          9         10        6         2         1          
Vardenis18            Pavardenis18          8         1         8         6         2          
Vardenis19            Pavardenis19          7         1         4         3         5          
Vardenis20            Pavardenis20          4         10        9         6         5          
Vardenis21            Pavardenis21          7         1         10        9         3          
Vardenis22            Pavardenis22          5         6         8         7         6          
Vardenis23            Pavardenis23          6         1         4         5         5          
Vardenis24            Pavardenis24          2         6         10        3         3          
Vardenis25            Pavardenis25          7         1         10        5         1          
Vardenis26            Pavardenis26          5         7         5         8         9          
Vardenis27            Pavardenis27          6         1         1         1         10         
Vardenis28            Pavardenis28          9         10        6         4         2          
Vardenis29            Pavardenis29          10        2         8         4         7          
Vardenis30            Pavardenis30          1         4         10        8         4          
Vardenis31            Pavardenis31          9         1         7         10        8          
Vardenis32            Pavardenis32          9         4         5         5         5          
Vardenis33            Pavardenis33          8         9         6         1         1          
Vardenis34            Pavardenis34          1         10        6         1         3          
Vardenis35            Pavardenis35          2         1         10        7         8          
Vardenis36            Pavardenis36          9         6         6         2         4          
Vardenis37            Pavardenis37          4         10        7         1         8          
Vardenis38            Pavardenis38          2         7         9         10        3          
Vardenis39            Pavardenis39          8         3         1         7         1          
Vardenis40            Pavardenis40          3         5         9         5         7          
Vardenis41            Pavardenis41          3         9         7         5         7          
Vardenis42            Pavardenis42          8         2         9         7         10         
Vardenis43            Pavardenis43          1         8         10        5         6          
Vardenis44            Pavardenis44          2         6         6         9         2          
Vardenis45            Pavardenis45          3         10        3         9         7          
Vardenis46            Pavardenis46          6         7         7         10        6          
Vardenis47            Pavardenis47          3         2         10        4         5          
Vardenis48            Pavardenis48          3         9         10        1         6          
Vardenis49            Pavardenis49          9         3         5         3         4          
Vardenis50            Pavardenis50          3         4         6         2         2          
Vardenis51            Pavardenis51          7         10        1         1         8          
Vardenis52            Pavardenis52          4         7         3         3         2          
Vardenis53            Pavardenis53          8         7         4         8         10         
Vardenis54            Pavardenis54          4         7         9         8         9          
Vardenis55            Pavardenis55          5         6         5         10        5          
Vardenis56            Pavardenis56          2         10        1         1         10         
Vardenis57            Pavardenis57          3         9         10        1         1          
Vardenis58            Pavardenis58          3         5         6         9         9          
Vardenis59            Pavardenis59          10        5         7         3         7          
Vardenis60            Pavardenis60          1         1         3         2         9          
Vardenis61            Pavardenis61          9         8         7         8         1          
Vardenis62            Pavardenis62          4         5         7         3         8          
Vardenis63            Pavardenis63          10        7         5         3         9          
Vardenis64            Pavardenis64          3         4         10        9         6          
Vardenis65            Pavardenis65          3         9         10        10        2          
Vardenis66            Pavardenis66          7         1         1         3         8          
Vardenis67            Pavardenis67          5         1         10        7         7          
Vardenis68            Pavardenis68          6         3         5         10        2          
Vardenis69            Pavardenis69          9         10        7         7         6          
Vardenis70            Pavardenis70          7         2         4         7         3          
Vardenis71            Pavardenis71          2         10        5         6         3          
Vardenis72            Pavardenis72          9         4         7         6         4          
Vardenis73            Pavardenis73          7         4         6         7         5          
Vardenis74            Pavardenis74          9         6         7         8         4          
Vardenis75            Pavardenis75          9         6         6         9         4          
Vardenis76            Pavardenis76          4         6         6         4         5          
Vardenis77            Pavardenis77          6         7         8         1         10         
Vardenis78            Pavardenis78          2         7         8         7         9          
Vardenis79            Pavardenis79          3         5         10        10        8          
Vardenis80            Pavardenis80          6         7         8         8         5          
Vardenis81            Pavardenis81          7         2         3         8         10         
Vardenis82            Pavardenis82          10        8         10        3         3          
Vardenis83            Pavardenis83          4         9         9         5         2          
Vardenis84            Pavardenis84          4         9         10        3         7          
Vardenis85            Pavardenis85          4         1         6         7         1          
Vardenis86            Pavardenis86          3         3         9         7         3          
Vardenis87            Pavardenis87          1         9         9         1         10         
Vardenis88            Pavardenis88          5         7         10        4         8          
Vardenis89            Pavardenis89          7         10        8         5         5          
Vardenis90            Pavardenis90          3         5         2         5         5          
Vardenis91            Pavardenis91          5         8         2         6         9          
Vardenis92            Pavardenis92          9         8         1         6         9          
Vardenis93            Pavardenis93          1         3         10        10        2          
Vardenis94            Pavardenis94          9         7         1         3         8          
Vardenis95            Pavardenis95          9         10        3         6         9          
Vardenis96            Pavardenis96          3         5         1         8         6          
Vardenis97            Pavardenis97          1         9         2         1         6          
Vardenis98            Pavardenis98          8         1         3         9         1          
Vardenis99            Pavardenis99          6         8         2         1         1          
Vardenis100           Pavardenis100         8         7         10        10        2          
Vardenis101           Pavardenis101         7         7         8         2         10         
Vardenis102           Pavardenis102         10        4         7         2         4          
Vardenis103           Pavardenis103         7         7         8         5         10         
Vardenis104           Pavardenis104         2         3         7         6         9          
Vardenis105           Pavardenis105         8         4         10        6         9          
Vardenis106           Pavardenis106         2         3         3         1         2          
Vardenis107           Pavardenis107         10        7         6         9         1          
Vardenis108           Pavardenis108         7         8         1         5         2          
Vardenis109           Pavardenis109         7         5         3         4         8          
Vardenis110           Pavardenis110         1         6         1         2         6          
Vardenis111           Pavardenis111         8         1         1         8         10         
Vardenis112           Pavardenis112         4         6         6         8         3          
Vardenis113           Pavardenis113         6         3         5         5         3          
Vardenis114           Pavardenis114         4         9         4         9         9          
Vardenis115           Pavardenis115         9         3         5         6         8          
Vardenis116           Pavardenis116         5         1         4         7         1          
Vardenis117           Pavardenis117         2         1         8         9         9          
Vardenis118           Pavardenis118         6         5         7         8         7          
Vardenis119           Pavardenis119         3         7         5         6         3          
Vardenis120           Pavardenis120         3         7         10        2         6          
Vardenis121           Pavardenis121         2         10        2         10        1          
Vardenis122           Pavardenis122         1         10        3         6         4          
Vardenis123           Pavardenis123         4         7         2         6         10         
Vardenis124           Pavardenis124         1         10        8         8         7          
Vardenis125           Pavardenis125         7         1         8         1         2          
Vardenis126           Pavardenis126         8         3         1         6         5          
Vardenis127           Pavardenis127         4         5         2         7         7          
Vardenis128           Pavardenis128         6         1         1         10        2          
Vardenis129           Pavardenis129         3         3         2         2         9          
Vardenis130           Pavardenis130         10        4         6         10        3          
Vardenis131           Pavardenis131         10        4         1         8         3          
Vardenis132           Pavardenis132         6         2         7         3         8          
Vardenis133           Pavardenis133         9         7         10        7         5          
Vardenis134           Pavardenis134         1         2         5         9         3          
Vardenis135           Pavardenis135         7         10        3         3         4          
Vardenis136           Pavardenis136         8         6         10        10        1          
Vardenis137           Pavardenis137         6         2         1         9         9          
Vardenis138           Pavardenis138         2         8         3         8         5          
Vardenis139           Pavardenis139         8         2         1         3         2          
Vardenis140           Pavardenis140         6         5         6         9         6          
Vardenis141           Pavardenis141         8         2         7         7         3          
Vardenis142           Pavardenis142         7         10        8         8         6          
Vardenis143           Pavardenis143         5         2         1         5         4          
Vardenis144           Pavardenis144         3         5         2         3         2          
Vardenis145           Pavardenis145         4         1         1         8         8          
Vardenis146           Pavardenis146         6         10        4         6         6          
Vardenis147           Pavardenis147         10        7         7         7         1          
Vardenis148           Pavardenis148         9         9         3         9         1          
Vardenis149           Pavardenis149         4         8         2         7         5          
Vardenis150           Pavardenis150         8         8         1         1         7          
Vardenis151           Pavardenis151         9         3         9         5         4          
Vardenis152           Pavardenis152         3         1         3         2         5          
Vardenis153           Pavardenis153         7         2         4         3         9          
Vardenis154           Pavardenis154         9         4         10        7         8          
Vardenis155           Pavardenis155         6         9         9         7         7          
Vardenis156           Pavardenis156         1         8         4         5         8          
Vardenis157           Pavardenis157         5         10        6         7         2          
Vardenis158           Pavardenis158         8         1         5         3         10         
Vardenis159           Pavardenis159         10        8         9         3         1          
Vardenis160           Pavardenis160         10        6         1         5         10         
Vardenis161           Pavardenis161         10        6         7         4         3          
Vardenis162           Pavardenis162         8         9         10        5         6          
Vardenis163           Pavardenis163         10        6         7         6         7          
Vardenis164           Pavardenis164         10        10        1         8         6          
Vardenis165           Pavardenis165         9         5         5         10        2          
Vardenis166           Pavardenis166         9         2         2         5         1          
Vardenis167           Pavardenis167         6         1         4         9         1          
Vardenis168           Pavardenis168         5         10        9         1         2          
Vardenis169           Pavardenis169         1         5         8         3         3          
Vardenis170           Pavardenis170         6         4         10        9         6          
Vardenis171           Pavardenis171         6         8         8         4         9          
Vardenis172           Pavardenis172         9         3         4         1         4          
Vardenis173           Pavardenis173         9         7         6         5         3          
Vardenis174           Pavardenis174         6         4         4         9         5          
Vardenis175           Pavardenis175         6         10        1         6         5          
Vardenis176           Pavardenis176         10        5         9         3         8          
Vardenis177           Pavardenis177         7         9         7         6         8          
Vardenis178           Pavardenis178         10        1         5         1         1          
Vardenis179           Pavardenis179         3         3         3         8         7          
Vardenis180           Pavardenis180         1         2         8         8         6          
Vardenis181           Pavardenis181         6         10        3         5         7          
Vardenis182           Pavardenis182         5         2         8         2         7          
Vardenis183           Pavardenis183         1         9         4         1         4          
Vardenis184           Pavardenis184         5         7         2         7         7          
Vardenis185           Pavardenis185         10        10        6         6         7          
Vardenis186           Pavardenis186         8         9         5         5         7          
Vardenis187           Pavardenis187         6         7         2         9         3          
Vardenis188           Pavardenis188         1         6         6         7         5          
Vardenis189           Pavardenis189         4         4         9         4         5          
Vardenis190           Pavardenis190         10        5         10        8         1          
Vardenis191           Pavardenis191         8         2         2         2         1          
Vardenis192           Pavardenis192         2         7         7         5         2          
Vardenis193           Pavardenis193         4         9         9         10        7          
Vardenis194           Pavardenis194         4         8         3         9         7          
Vardenis195           Pavardenis195         9         10        5         4         6          
Vardenis196           Pavardenis196         7         9         6         8         5          
Vardenis197           Pavardenis197         8         10        7         1         9          
Vardenis198           Pavardenis198         5         6         7         10        1          
Vardenis199           Pavardenis199         7         6         6         6         7          
Vardenis200           Pavardenis200         5         4         9         9         5          
Vardenis201           Pavardenis201         1         6         4         9         5          
Vardenis202           Pavardenis202         8         9         9         3         1          
Vardenis203           Pavardenis203         10        1         2         9         9          
Vardenis204           Pavardenis204         1         4         3         2         3          
Vardenis205           Pavardenis205         9         4         3         10        7          
Vardenis206           Pavardenis206         4         6         5         10        5          
Vardenis207           Pavardenis207         8         5         10        7         4          
Vardenis208           Pavardenis208         2         4         2         6         7          
Vardenis209           Pavardenis209         2         2         6         2         5          
Vardenis210           Pavardenis210         4         8         6         5         8          
Vardenis211           Pavardenis211         4         7         10        4         5          
Vardenis212           Pavardenis212         9         5         2         7         3          
Vardenis213           Pavardenis213         4         6         5         5         5          
Vardenis214           Pavardenis214         7         10        8         5         3          
Vardenis215           Pavardenis215         5         1         10        1         1          
Vardenis216           Pavardenis216         7         6         9         3         7          
Vardenis217           Pavardenis217         1         9         4         8         1          
Vardenis218           Pavardenis218         9         4         5         2         9          
Vardenis219           Pavardenis219         3         10        4         7         1          
Vardenis220           Pavardenis220         1         5         2         1         2          
Vardenis221           Pavardenis221         8         3         7         7         4          
Vardenis222           Pavardenis222         10        5         4         9         9          
Vardenis223           Pavardenis223         3         7         1         2         6          
Vardenis224           Pavardenis224         4         3         7         9         5          
Vardenis225           Pavardenis225         7         3         10        3         8          
Vardenis226           Pavardenis226         10        2         8         9         2          
Vardenis227           Pavardenis227         8         4         2         2         5          
Vardenis228           Pavardenis228         2         3         6         6         5          
Vardenis229           Pavardenis229         6         8         4         8         7          
Vardenis230           Pavardenis230         7         3         2         6         1          
Vardenis231           Pavardenis231         10        6         1         8         1          
Vardenis232           Pavardenis232         4         5         7         10        9          
Vardenis233           Pavardenis233         6         1         7         8         8          
Vardenis234           Pavardenis234         4         5         1         1         3          
Vardenis235           Pavardenis235         5         10        8         8         6          
Vardenis236           Pavardenis236         3         7         8         4         9          
Vardenis237           Pavardenis237         5         3         6         2         10         
Vardenis238           Pavardenis238         7         7         8         4         4          
Vardenis239           Pavardenis239         3         10        1         9         6          
Vardenis240           Pavardenis240         1         7         10        6         5          
Vardenis241           Pavardenis241         10        2         1         7         2          
Vardenis242           Pavardenis242         1         1         7         1         1          
Vardenis243           Pavardenis243         1         5         2         5         9          
Vardenis244           Pavardenis244         9         10        6         8         1          
Vardenis245           Pavardenis245         6         9         7         7         4          
Vardenis246           Pavardenis246         10        9         8         3         8          
Vardenis247           Pavardenis247         3         10        4         6         2          
Vardenis248           Pavardenis248         6         2         2         6         10         
Vardenis249           Pavardenis249         7         1         3         7         6          
Vardenis250           Pavardenis250         2         10        1         9         6          
Vardenis251           Pavardenis251         10        6         1         8         3          
Vardenis252           Pavardenis252         10        5         9         8         4          
Vardenis253           Pavardenis253         1         3         3         8         6          
Vardenis254           Pavardenis254         6         2         1         10        8          
Vardenis255           Pavardenis255         8         9         10        5         4          
Vardenis256           Pavardenis256         10        4         9         10        2          
Vardenis257           Pavardenis257         6         6         8         2         9          
Vardenis258           Pavardenis258         2         10        9         4         8          
Vardenis259           Pavardenis259         5         3         6         2         10         
Vardenis260           Pavardenis260         5         9         9         2         7          
Vardenis261           Pavardenis261         7         8         9         6         9          
Vardenis262           Pavardenis262         5         7         2         1         2          
Vardenis263           Pavardenis263         1         6         2         3         9          
Vardenis264           Pavardenis264         5         6         4         1         5          
Vardenis265           Pavardenis265         4         10        4         7         1          
Vardenis266           Pavardenis266         4         4         2         10        5          
Vardenis267           Pavardenis267         9         2         2         3         7          
Vardenis268           Pavardenis268         8         3         8         7         2          
Vardenis269           Pavardenis269         7         1         6         7         3          
Vardenis270           Pavardenis270         10        8         8         5         10         
Vardenis271           Pavardenis271         8         1         2         8         3          
Vardenis272           Pavardenis272         4         5         10        4         7          
Vardenis273           Pavardenis273         4         10        2         8         9          
Vardenis274           Pavardenis274         10        10        10        5         3          
Vardenis275           Pavardenis275         3         3         5         4         8          
Vardenis276           Pavardenis276         9         10        1         6         3          
Vardenis277           Pavardenis277         8         3         5         2         9          
Vardenis278           Pavardenis278         4         9         10        10        7          
Vardenis279           Pavardenis279         1         3         6         6         1          
Vardenis280           Pavardenis280         1         2         4         2         7          
Vardenis281           Pavardenis281         2         6         1         4         1          
Vardenis282           Pavardenis282         9         6         7         2         8          
Vardenis283           Pavardenis283         1         6         5         6         7          
Vardenis284           Pavardenis284         2         5         6         1         4          
Vardenis285           Pavardenis285         3         7         8         1         9          
Vardenis286           Pavardenis286         10        6         9         2         7          
Vardenis287           Pavardenis287         10        4         2         6         8          
Vardenis288           Pavardenis288         8         2         5         10        1          
Vardenis289           Pavardenis289         6         2         7         10        7          
Vardenis290           Pavardenis290         6         9         6         3         9          
Vardenis291           Pavardenis291         7         4         10        8         8          
Vardenis292           Pavardenis292         5         5         5         7         9          
Vardenis293           Pavardenis293         7         2         10        10        8          
Vardenis294           Pavardenis294         7         8         4         5         2          
Vardenis295           Pavardenis295         10        3         3         6         4          
Vardenis296           Pavardenis296         6         5         6         6         9          
Vardenis297           Pavardenis297         8         3         2         2         9          
Vardenis298           Pavardenis298         8         5         10        6         10         
Vardenis299           Pavardenis299         7         8         5         10        8          
Vardenis300           Pavardenis300         9         9         5         8         6          
Vardenis301           Pavardenis301         1         5         4         3         10         
Vardenis302           Pavardenis302         2         6         4         1         5          
Vardenis303           Pavardenis303         6         9         2         1         9          
Vardenis304           Pavardenis304         10        3         5         5         4          
Vardenis305           Pavardenis305         9         9         8         3         6          
Vardenis306           Pavardenis306         2         4         6         5         1          
Vardenis307           Pavardenis307         3         4         6         5         3          
Vardenis308           Pavardenis308         9         1         1         8         4          
Vardenis309           Pavardenis309         5         10        9         9         9          
Vardenis310           Pavardenis310         5         5         9         8         2          
Vardenis311           Pavardenis311         9         4         2         3         5          
Vardenis312           Pavardenis312         3         9         6         5         9          
Vardenis313           Pavardenis313         3         8         5         7         9          
Vardenis314           Pavardenis314         9         1         2         2         6          
Vardenis315           Pavardenis315         8         3         4         3         3          
Vardenis316           Pavardenis316         10        7         6         9         10         
Vardenis317           Pavardenis317         6         5         5         5         5          
Vardenis318           Pavardenis318         2         5         10        5         9          
Vardenis319           Pavardenis319         8         3         5         3         4          
Vardenis320           Pavardenis320         9         2         5         1         3          
Vardenis321           Pavardenis321         2         6         8         2         2          
Vardenis322           Pavardenis322         10        4         6         6         4          
Vardenis323           Pavardenis323         2         4         2         2         6          
Vardenis324           Pavardenis324         6         4         7         3         10         
Vardenis325           Pavardenis325         8         10        7         9         5          
Vardenis326           Pavardenis326         7         8         8         1         4          
Vardenis327           Pavardenis327         7         4         7         10        9          
Vardenis328           Pavardenis328         8         1         10        1         9          
Vardenis329           Pavardenis329         2         9         3         7         6          
Vardenis330           Pavardenis330         10        8         3         10        1          
Vardenis331           Pavardenis331         1         7         6         8         5          
Vardenis332           Pavardenis332         5         9         5         10        9          
Vardenis333           Pavardenis333         8         8         6         4         2          
Vardenis334           Pavardenis334         1         9         7         5         3          
Vardenis335           Pavardenis335         3         6         1         1         7          
Vardenis336           Pavardenis336         1         10        3         6         2          
Vardenis337           Pavardenis337         1         2         4         3         10         
Vardenis338           Pavardenis338         10        7         8         4         7          
Vardenis339           Pavardenis339         7         3         2         3         6          
Vardenis340           Pavardenis340         6         5         6         4         8          
Vardenis341           Pavardenis341         6         8         6         10        9          
Vardenis342           Pavardenis342         2         4         9         8         7          
Vardenis343           Pavardenis343         5         8         5         2         7          
Vardenis344           Pavardenis344         8         6         1         7         2          
Vardenis345           Pavardenis345         3         7         4         5         6          
Vardenis346           Pavardenis346         8         9         4         7         6          
Vardenis347           Pavardenis347         10        3         7         6         4          
Vardenis348           Pavardenis348         8         5         6         9         6          
Vardenis349           Pavardenis349         6         8         5         4         10         
Vardenis350           Pavardenis350         9         6         9         8         1          
Vardenis351           Pavardenis351         9         4         8         4         10         
Vardenis352           Pavardenis352         3         10        9         3         6          
Vardenis353           Pavardenis353         7         6         9         7         2          
Vardenis354           Pavardenis354         9         4         7         4         7          
Vardenis355           Pavardenis355         6         6         1         10        4          
Vardenis356           Pavardenis356         10        9         5         4         7          
Vardenis357           Pavardenis357         3         9         6         7         6          
Vardenis358           Pavardenis358         6         2         6         7         8          
Vardenis359           Pavardenis359         2         6         10        9         10         
Vardenis360           Pavardenis360         2         1         1         8         9          
Vardenis361           Pavardenis361         6         1         9         6         7          
Vardenis362           Pavardenis362         4         9         10        4         9          
Vardenis363           Pavardenis363         2         10        4         2         10         
Vardenis364           Pavardenis364         8         6         7         5         9          
Vardenis365           Pavardenis365         2         3         10        5         3          
Vardenis366           Pavardenis366         1         5         10        9         2          
Vardenis367           Pavardenis367         7         2         8         7         2          
Vardenis368           Pavardenis368         2         7         8         10        9          
Vardenis369           Pavardenis369         3         8         4         3         1          
Vardenis370           Pavardenis370         9         8         3         2         2          
Vardenis371           Pavardenis371         2         5         1         3         10         
Vardenis372           Pavardenis372         3         4         8         4         9          
Vardenis373           Pavardenis373         3         4         8         3         4          
Vardenis374           Pavardenis374         2         2         4         1         5          
Vardenis375           Pavardenis375         7         8         8         10        10         
Vardenis376           Pavardenis376         10        2         9         1         6          
Vardenis377           Pavardenis377         3         2         9         10        6          
Vardenis378           Pavardenis378         3         5         5         7         8          
Vardenis379           Pavardenis379         2         8         8         8         7          
Vardenis380           Pavardenis380         2         6         2         1         10         
Vardenis381           Pavardenis381         1         6         2         3         2          
Vardenis382           Pavardenis382         8         10        4         9         3          
Vardenis383           Pavardenis383         10        3         3         7         9          
Vardenis384           Pavardenis384         9         4         8         3         9          
Vardenis385           Pavardenis385         9         5         3         5         3          
Vardenis386           Pavardenis386         10        2         10        2         1          
Vardenis387           Pavardenis387         5         1         8         6         1          
Vardenis388           Pavardenis388         1         3         8         5         10         
Vardenis389           Pavardenis389         1         7         8         7         10         
Vardenis390           Pavardenis390         10        1         10        9         4          
Vardenis391           Pavardenis391         5         7         1         7         6          
Vardenis392           Pavardenis392         1         9         1         1         10         
Vardenis393           Pavardenis393         7         9         2         4         2          
Vardenis394           Pavardenis394         4         10        2         9         8          
Vardenis395           Pavardenis395         10        10        3         5         6          
Vardenis396           Pavardenis396         9         4         9         9         5          
Vardenis397           Pavardenis397         10        9         5         7         8          
Vardenis398           Pavardenis398         1         9         10        5         8          
Vardenis399           Pavardenis399         6         8         4         5         7          
Vardenis400           Pavardenis400         2         6         6         5         2          
Vardenis401           Pavardenis401         1         2         5         7         9          
Vardenis402           Pavardenis402         10        3         4         6         4          
Vardenis403           Pavardenis403         6         7         7         2         3          
Vardenis404           Pavardenis404         7         2         1         9         7          
Vardenis405           Pavardenis405         8         6         2         1         2          
Vardenis406           Pavardenis406         2         8         9         8         3          
Vardenis407           Pavardenis407         9         8         5         8         5          
Vardenis408           Pavardenis408         9         4         3         7         1          
Vardenis409           Pavardenis409         8         6         4         7         5          
Vardenis410           Pavardenis410         5         3         9         8         3          
Vardenis411           Pavardenis411         2         2         2         6         5          
Vardenis412           Pavardenis412         9         7         5         6         4          
Vardenis413           Pavardenis413         10        5         10        3         2          
Vardenis414           Pavardenis414         9         3         9         6         2          
Vardenis415           Pavardenis415         2         5         7         5         5          
Vardenis416           Pavardenis416         5         8         2         1         5          
Vardenis417           Pavardenis417         9         2         6         5         1          
Vardenis418           Pavardenis418         4         5         9         4         8          
Vardenis419           Pavardenis419         5         8         3         6         8          
Vardenis420           Pavardenis420         9         1         10        6         4          
Vardenis421           Pavardenis421         2         1         1         7         10         
Vardenis422           Pavardenis422         5         3         5         2         1          
Vardenis423           Pavardenis423         3         1         5         5         2          
Vardenis424           Pavardenis424         2         2         6         9         8          
Vardenis425           Pavardenis425         4         6         3         3         3          
Vardenis426           Pavardenis426         3         1         5         4         1          
Vardenis427           Pavardenis427         6         7         6         2         5          
Vardenis428           Pavardenis428         8         5         5         3         5          
Vardenis429           Pavardenis429         4         10        6         7         5          
Vardenis430           Pavardenis430         6         3         1         1         7          
Vardenis431           Pavardenis431         3         4         10        9         1          
Vardenis432           Pavardenis432         1         2         10        4         9          
Vardenis433           Pavardenis433         3         1         5         3         4          
Vardenis434           Pavardenis434         6         5         1         1         7          
Vardenis435           Pavardenis435         2         1         9         6         8          
Vardenis436           Pavardenis436         1         6         6         1         7          
Vardenis437           Pavardenis437         9         10        1         9         3          
Vardenis438           Pavardenis438         8         5         3         6         7          
Vardenis439           Pavardenis439         3         5         4         1         9          
Vardenis440           Pavardenis440         4         5         4         10        10         
Vardenis441           Pavardenis441         9         10        8         3         10         
Vardenis442           Pavardenis442         4         3         9         5         4          
Vardenis443           Pavardenis443         1         3         2         10        6          
Vardenis444           Pavardenis444         9         10        7         9         8          
Vardenis445           Pavardenis445         6         7         3         6         10         
Vardenis446           Pavardenis446         1         6         4         3         1          
Vardenis447           Pavardenis447         9         3         3         8         5          
Vardenis448           Pavardenis448         4         9         1         3         2          
Vardenis449           Pavardenis449         1         8         8         9         5          
Vardenis450           Pavardenis450         1         1         9         4         7          
Vardenis451           Pavardenis451         6         2         7         6         5          
Vardenis452           Pavardenis452         2         2         5         6         4          
Vardenis453           Pavardenis453         2         6         1         3         8          
Vardenis454           Pavardenis454         2         4         8         4         10         
Vardenis455           Pavardenis455         1         7         9         5         6          
Vardenis456           Pavardenis456         2         4         9         4         3          
Vardenis457           Pavardenis457         6         5         9         7         4          
Vardenis458           Pavardenis458         3         10        5         3         10         
Vardenis459           Pavardenis459         9         10        2         8         6          
Vardenis460           Pavardenis460         3         1         1         10        2          
Vardenis461           Pavardenis461         2         5         3         1         2          
Vardenis462           Pavardenis462         1         3         7         7         1          
