Vardas                Pavarde               ND1       ND2       ND3       ND4        Egzaminas
----------------------------------------------------------------------------------------------
Vardenis1             Pavardenis1           5         4         6         7         1          
Vardenis2             Pavardenis2           4         6         2         9         4          
Vardenis3             Pavardenis3           4         8         8         4         8          
Vardenis4             Pavardenis4           5         2         10        8         7          
Vardenis5             Pavardenis5           4         3         6         2         9          
Vardenis6             Pavardenis6           9         1         9         7         1          
Vardenis7             Pavardenis7           7         3         2         9         10         
Vardenis8             Pavardenis8           9         8         6         2         10         
Vardenis9             Pavardenis9           1         6         4         3         8          
Vardenis10            Pavardenis10          10        1         4         5         2          
Vardenis11            Pavardenis11          4         10        3         8         3          
Vardenis12            Pavardenis12          7         2         10        3         2          
Vardenis13            Pavardenis13          6         8         4         6         5          
Vardenis14            Pavardenis14          6         2         7         3         5          
Vardenis15            Pavardenis15          1         7         7         4         1          
Vardenis16            Pavardenis16          2         3         1         10        8          
Vardenis17            Pavardenis17          6         5         8         7         10         
Vardenis18            Pavardenis18          5         9         5         5         9          
Vardenis19            Pavardenis19          10        7         4         3         5          
Vardenis20            Pavardenis20          6         5         9         10        2          
Vardenis21            Pavardenis21          9         10        9         3         6          
Vardenis22            Pavardenis22          3         6         4         1         8          
Vardenis23            Pavardenis23          2         9         9         7         7          
Vardenis24            Pavardenis24          8         3         7         1         1          
Vardenis25            Pavardenis25          4         6         8         9         1          
Vardenis26            Pavardenis26          3         6         2         4         9          
Vardenis27            Pavardenis27          1         3         9         2         5          
Vardenis28            Pavardenis28          5         4         10        10        5          
Vardenis29            Pavardenis29          5         7         9         8         3          
Vardenis30            Pavardenis30          5         5         9         1         8          
Vardenis31            Pavardenis31          4         9         5         3         3          
Vardenis32            Pavardenis32          1         6         2         2         7          
Vardenis33            Pavardenis33          6         3         3         2         4          
Vardenis34            Pavardenis34          5         5         10        2         2          
Vardenis35            Pavardenis35          2         2         3         5         4          
Vardenis36            Pavardenis36          4         3         5         2         10         
Vardenis37            Pavardenis37          10        7         4         7         7          
Vardenis38            Pavardenis38          3         7         9         7         5          
Vardenis39            Pavardenis39          10        9         2         5         9          
Vardenis40            Pavardenis40          5         2         4         5         5          
Vardenis41            Pavardenis41          8         3         8         9         8          
Vardenis42            Pavardenis42          4         10        1         3         2          
